ID_LOKACIJE,IME_LOKACIJE,OPIS_LOKACIJE,GEOGRAFSKA_SIRINA,GEOGRAFSKA_DUZINA
1,Beograd - Novi Beograd,,44.81861,20.46806
2,Beograd (Zvezdara) - Zeleno brdo,,44.8,20.46667
3,Čačak,,43.89139,20.34972
4,Kragujevac,,44.03333,20.93333
5,Kruševac,,43.58,21.33389
6,Kula,,45.60889,19.52639
7,Požarevac,,44.61528,21.1825
8,Vranje,,42.55139,21.90028
9,Vršac,,45.11667,21.30361
10,Zaječar,,43.90417,22.28472
11,Pančevo,,44.87083,20.64028
12,Kraljevo,,43.72583,20.68944
13,Subotica,,46.1,19.66667
14,Loznica,,44.53494,19.22607
15,Niš,,43.32472,21.90333
16,Zlatibor,,43.72172,19.70097
17,Bečej,,45.62513,20.05279
19,Sokobanja,,43.63931,21.87012
20,Novi Pazar,,43.14789,20.52162
21,Obrenovac,,44.658,20.2002
